ACT Composite 25th percentile score (bin),Geographic region (group),Name,Percent of total enrollment (Black),Percent of total enrollment (Asian),Total endowment (log)
Selective,Atlantic & Pacific Ocean States,Yale University,5,13,1528324
Selective,Atlantic & Pacific Ocean States,University of Southern California,5,19,107715
Selective,Atlantic & Pacific Ocean States,University of Rochester,4,8,162764
Selective,Atlantic & Pacific Ocean States,University of Pennsylvania,6,15,357306
Selective,Atlantic & Pacific Ocean States,University of California-Berkeley,2,30,36917
Selective,Atlantic & Pacific Ocean States,Tufts University,3,12,130838
Selective,Atlantic & Pacific Ocean States,SUNY at Binghamton,5,12,4893
Selective,Atlantic & Pacific Ocean States,Stevens Institute of Technology,2,8,37693
Selective,Atlantic & Pacific Ocean States,Stanford University,4,15,1215932
Selective,Atlantic & Pacific Ocean States,Rensselaer Polytechnic Institute,2,9,88229
Selective,Atlantic & Pacific Ocean States,Princeton University,6,15,2320421
Selective,Atlantic & Pacific Ocean States,Polytechnic Institute of New York University,4,19,30868
Selective,Atlantic & Pacific Ocean States,Northeastern University,3,8,23979
Selective,Atlantic & Pacific Ocean States,New York University,5,15,66851
Selective,Atlantic & Pacific Ocean States,Massachusetts Institute of Technology,3,16,980404
Selective,Atlantic & Pacific Ocean States,Lehigh University,3,6,168081
Selective,Atlantic & Pacific Ocean States,Johns Hopkins University,6,13,138661
Selective,Atlantic & Pacific Ocean States,Harvard University,5,13,1392761
Selective,Atlantic & Pacific Ocean States,Georgetown University,6,8,83669
Selective,Atlantic & Pacific Ocean States,George Washington University,9,8,63277
Selective,Atlantic & Pacific Ocean States,Dartmouth College,5,12,581104
Selective,Atlantic & Pacific Ocean States,Cornell University,5,14,193396
Selective,Atlantic & Pacific Ocean States,Columbia University in the City of New York,5,13,316753
Selective,Atlantic & Pacific Ocean States,Carnegie Mellon University,3,16,75155
Selective,Atlantic & Pacific Ocean States,California Institute of Technology,1,26,872856
Selective,Atlantic & Pacific Ocean States,Brown University,6,12,303300
Selective,Atlantic & Pacific Ocean States,Brandeis University,5,9,109992
Selective,Atlantic & Pacific Ocean States,Boston College,4,8,137445
Not selective,Atlantic & Pacific Ocean States,Yeshiva University,2,4,180152
Not selective,Atlantic & Pacific Ocean States,Washington State University,3,5,29245
Not selective,Atlantic & Pacific Ocean States,University of Washington-Seattle Campus,2,20,51447
Not selective,Atlantic & Pacific Ocean States,University of Vermont,1,3,28952
Not selective,Atlantic & Pacific Ocean States,University of the Pacific,3,32,44622
